;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utrikes födda efter län, kommun och födelseland 31 december 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Län;;Kön;Folk-;därav utrikes födda efter födelseland1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kommun;;mängd;Samtliga;I procent;Norden utom;därav;                                            ;                                            ;                                            ;EU28 utom Norden;;;Europa utom EU28 och Norden;;;                                            ;Afrika;                                            ;                                            ;Nord-amerika;Syd-amerika;Asien;                                            ;                                            ;                                            ;                                            ;                                            ;Oceanien;Sovjet-unionen;Okänt;;;;
;;;;;"av folk-
mängden";Sverige;Danmark;Finland;Island;Norge;;Polen;Tyskland;;Bosnien och Hercegovina;Jugo-slavien;Turkiet;;Eritrea;Somalia;;;;Afghan-istan;Irak;Iran;Syrien;Thailand;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Riket;;Båda könen;10 230 185;1 955 569;19,1;235 633;40 011;147 883;5 992;41 747;369 743;92 759;51 140;259 177;59 395;65 124;49 948;219 914;42 300;68 678;40 116;72 467;745 271;51 979;144 035;77 386;185 991;42 394;6 236;5 508;1 504;;;;
Riket;;Kvinnor;5 087 747;973 027;19,1;134 439;18 797;89 630;3 055;22 957;178 661;49 206;26 859;131 240;29 932;32 465;22 478;103 285;18 837;34 705;19 662;37 393;361 845;18 382;66 467;36 533;81 067;33 205;2 262;3 640;600;;;;
Riket;;Män;5 142 438;982 542;19,1;101 194;21 214;58 253;2 937;18 790;191 082;43 553;24 281;127 937;29 463;32 659;27 470;116 629;23 463;33 973;20 454;35 074;383 426;33 597;77 568;40 853;104 924;9 189;3 974;1 868;904;;;;
Stockholms län;;Båda könen;2 344 124;595 882;25,4;62 002;4 173;49 205;1 396;7 228;129 182;35 532;12 743;66 591;7 664;9 352;23 562;69 800;12 300;12 236;16 206;35 477;211 084;11 333;44 273;29 272;30 330;10 552;2 377;2 786;377;;;;
Stockholms län;;Kvinnor;1 171 614;298 249;25,5;38 312;2 050;31 481;734;4 047;60 965;18 213;6 797;33 985;3 791;4 735;10 931;32 305;5 751;6 142;7 772;17 877;104 251;4 077;20 760;14 272;13 415;8 141;833;1 806;143;;;;
Stockholms län;;Män;1 172 510;297 633;25,4;23 690;2 123;17 724;662;3 181;68 217;17 319;5 946;32 606;3 873;4 617;12 631;37 495;6 549;6 094;8 434;17 600;106 833;7 256;23 513;15 000;16 915;2 411;1 544;980;234;;;;
;Botkyrka;Båda könen;93 106;39 203;42,1;2 925;118;2 584;25;198;6 545;2 866;386;8 053;384;904;4 813;4 906;553;211;482;2 176;13 978;739;3 570;658;2 640;418;34;86;18;;;;
;Botkyrka;Kvinnor;45 548;19 031;41,8;1 763;63;1 565;13;122;3 141;1 434;199;3 911;174;468;2 289;2 237;287;110;236;1 057;6 621;301;1 699;285;1 190;322;8;49;8;;;;
;Botkyrka;Män;47 558;20 172;42,4;1 162;55;1 019;12;76;3 404;1 432;187;4 142;210;436;2 524;2 669;266;101;246;1 119;7 357;438;1 871;373;1 450;96;26;37;10;;;;
;Danderyd;Båda könen;33 187;5 641;17,0;655;67;406;13;169;1 860;218;311;387;25;41;44;316;76;16;427;242;1 653;66;119;364;185;59;36;62;3;;;;
;Danderyd;Kvinnor;16 882;3 078;18,2;396;31;267;6;92;971;110;180;228;13;24;24;169;43;7;220;138;902;28;64;179;77;45;17;35;2;;;;
;Danderyd;Män;16 305;2 563;15,7;259;36;139;7;77;889;108;131;159;12;17;20;147;33;9;207;104;751;38;55;185;108;14;19;27;1;;;;
;Ekerö;Båda könen;28 308;3 731;13,2;606;63;471;10;62;1 371;497;158;239;30;39;36;272;61;30;137;156;908;121;85;140;186;94;26;14;2;;;;
;Ekerö;Kvinnor;14 001;1 892;13,5;364;28;299;7;30;611;232;89;118;15;13;13;141;35;19;83;84;468;43;39;60;78;70;10;11;2;;;;
;Ekerö;Män;14 307;1 839;12,9;242;35;172;3;32;760;265;69;121;15;26;23;131;26;11;54;72;440;78;46;80;108;24;16;3;-;;;;
;Haninge;Båda könen;89 989;24 289;27,0;2 485;116;2 110;32;227;6 488;3 238;339;4 075;509;579;1 733;2 296;190;322;521;1 920;6 359;588;988;799;830;458;48;80;17;;;;
