Län;Öppet arbetslösa;Δ;Progr med akt.stöd;Δ
Riket;184115;-9129;164258;-8473
Stockholms län;43489;-871;26113;-924
Uppsala län;5599;-706;4505;333
Södermanlands län;5836;-669;6853;-324
Östergötlands län;8000;-570;9672;-532
Jönköpings län;4788;-570;5689;-12
Kronobergs län;3244;-422;4487;99
Kalmar län;3715;-946;4994;61
Gotlands län;928;-20;838;-89
Blekinge län;3012;-109;4145;-245
Skåne län;31175;-709;28111;-2230
Hallands län;5090;-250;4487;-49
Västra Götalands län;28325;-1150;24181;-318
Värmlands län;4914;-516;4051;-479
Örebro län;5527;-645;4972;369
Västmanlands län;4819;-174;6385;-169
Dalarnas län;4989;-850;3389;-160
Gävleborgs län;5762;626;7363;-1532
Västernorrlands län;5130;-215;4623;-515
Jämtlands län;1902;90;1918;-665
Västerbottens län;3825;-299;3615;-502
Norrbottens län;4035;-150;3862;-589
 
