Innehållsförteckning;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Värden;Egen/annan produktion;Område;Därav;varav;Läkare/ Övrigt;Prestationsgrupp;Prestation;År;Blekinge;Dalarna;Gotland;Gävleborg;Halland;Jämtland Härjedalen;Jönköping;Kalmar;Kronoberg;Norrbotten;Skåne;Stockholm;Sörmland;Uppsala;Värmland;Västerbotten;Västernorrland;Västmanland;Västra Götaland;Örebro;Östergötland;Riket
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2008;790;6 709;2 098;3 752;5 122;2 971;1 508;5 876;1 769;9 922;26 918;15 462;557;2 011;1 659;772;3 376;2 394;4 643;7 528;12 148;117 985
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2009;497;6 881;1 731;3 678;3 321;2 808;1 259;6 010;1 552;8 934;21 041;4 048;571;2 018;2 231;537;5 020;2 724;5 571;6 518;10 390;97 340
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2010;369;6 621;1 626;4 487;3 831;2 826;1 109;5 647;1 148;2;19 262;4 034;220;1 866;1 472;553;2 623;1 580;5 375;6 603;9 898;81 152
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2011;544;6 877;1 020;7 082;3 589;2 672;4 197;6 530;689;;20 740;3 505;258;1 755;1 078;553;2 433;1 351;4 721;5 984;9 720;85 298
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2012;479;6 845;1 648;7 195;3 211;2 642;707;6 240;653;;24 180;3 326;180;2 279;1 237;397;1 520;1 082;4 954;5 111;9 271;83 157
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2013;415;5 343;1 485;8 334;3 962;2 612;636;6 600;805;664;27 136;2 930;247;1 977;1 103;332;1 457;786;4 934;5 308;9 136;86 202
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2014;469;3 043;1 140;8 148;3 601;2 716;720;6 900;916;1 948;26 571;2 885;345;399;1 801;435;4 117;1 027;5 164;5 242;9 007;86 594
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2015;484;22;1 538;6 931;3 708;2 847;800;7 099;1 013;1 871;29 667;2 835;277;356;2 023;457;1 537;1 066;6 038;5 527;8 898;84 994
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2016;581;10;335;858;3 817;2 883;914;6 501;973;1 064;34 171;2 390;526;280;1 985;334;1 603;1 806;5 785;5 911;8 722;81 449
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2017;583;23;407;867;3 557;2 800;3 145;7 212;1 025;1 790;37 562;2 368;497;358;1 608;516;1 423;338;5 018;5 978;8 612;85 687
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2008;155 056;318 154;64 391;301 194;297 662;146 342;323 330;248 532;181 638;287 255;985 334;1 628 697;227 579;261 475;244 120;227 345;201 841;169 274;1 428 589;238 354;380 402;8 316 564
