Huvud_ID;Område ;Indikatornamn;Landsting och regioner;landstingskod;Mätperiod;Värde;Täljare;Nämnare;Konfidensintervall låg gräns;Konfidensintervall hög gräns;Avvikelse riket procent ;Avvikelse riket procent ;;Måttenhet ;Önskad riktning värde ;Målnivå/er SoS/Kval reg;Källa;Kommentar 
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Stockholms län;01;2017;70,4;893;1 269;;;-18,2;-18,2;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Uppsala län;03;2017;93,3;348;373;;;8,4;8,4;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Sörmland;04;2017;88,4;311;352;;;2,6;2,6;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Östergötland;05;2017;89,6;420;469;;;4,0;4,0;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Jönköpings län;06;2017;77,2;318;412;;;-10,3;-10,3;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Kronoberg;07;2017;96,8;245;253;;;12,5;12,5;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Kalmar län;08;2017;84,2;208;247;;;-2,2;-2,2;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Gotland;09;2017;92,9;79;85;;;8,0;8,0;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Blekinge;10;2017;85,9;165;192;;;-0,2;-0,2;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Skåne;12;2017;88,4;876;991;;;2,7;2,7;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Halland;13;2017;97,9;320;327;;;13,7;13,7;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Västra Götaland;14;2017;90,0;1 494;1 660;;;4,6;4,6;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Värmland;17;2017;97,3;512;526;;;13,1;13,1;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Örebro län;18;2017;79,6;109;137;;;-7,6;-7,6;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Västmanland;19;2017;94,7;286;302;;;10,0;10,0;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Dalarna;20;2017;56,1;105;187;;;-34,8;-34,8;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Gävleborg;21;2017;89,4;319;357;;;3,8;3,8;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Västernorrland;22;2017;83,3;225;270;;;-3,2;-3,2;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Jämtland Härjedalen;23;2017;92,2;177;192;;;7,1;7,1;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Västerbotten;24;2017;89,3;201;225;;;3,8;3,8;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Norrbotten;25;2017;79,0;154;195;;;-8,3;-8,3;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnosticerad prostatacancer;Riket;46;2017;86,1;7 766;9 022;;;0,0;0,0;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Stockholms län;01;2017;56,5;96;170;;;-20,7;-20,7;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Uppsala län;03;2017;65,5;38;58;;;-8,0;-8,0;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Sörmland;04;2017;92,9;39;42;;;30,4;30,4;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Östergötland;05;2017;70,9;61;86;;;-0,4;-0,4;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Jönköpings län;06;2017;77,2;61;79;;;8,4;8,4;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Kronoberg;07;2017;100,0;39;39;;;40,4;40,4;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Kalmar län;08;2017;85,0;34;40;;;19,4;19,4;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Gotland;09;2017;57,1;8;14;;;-19,8;-19,8;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Blekinge;10;2017;85,2;23;27;;;19,6;19,6;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Skåne;12;2017;53,0;70;132;;;-25,5;-25,5;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Halland;13;2017;74,5;41;55;;;4,7;4,7;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Västra Götaland;14;2017;65,9;180;273;;;-7,4;-7,4;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Värmland;17;2017;96,9;63;65;;;36,1;36,1;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Örebro län;18;2017;68,0;17;25;;;-4,5;-4,5;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Västmanland;19;2017;71,8;28;39;;;0,8;0,8;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Dalarna;20;2017;75,6;31;41;;;6,2;6,2;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Gävleborg;21;2017;94,5;86;91;;;32,7;32,7;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Västernorrland;22;2017;78,3;36;46;;;9,9;9,9;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Jämtland Härjedalen;23;2017;51,3;20;39;;;-28,0;-28,0;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Västerbotten;24;2017;69,8;37;53;;;-2,0;-2,0;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Norrbotten;25;2017;68,4;26;38;;;-3,9;-3,9;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Multidisciplinär konferens vid prostatacancer med hög risk;Riket;46;2017;71,2;1 034;1 452;;;0,0;0,0;;Andel (%);Högt ;100/80/40;Nationella prostatacancerregistret (NPCR);
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Stockholms län;01;2017;97,9;1 929;1 970;;;-0,1;-0,1;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Uppsala län;03;2017;100,0;304;304;;;2,0;2,0;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Sörmland;04;2017;99,6;256;257;;;1,6;1,6;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Östergötland;05;2017;92,5;320;346;;;-5,7;-5,7;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Jönköpings län;06;2017;97,0;287;296;;;-1,1;-1,1;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Kronoberg;07;2017;95,2;160;168;;;-2,8;-2,8;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Kalmar län;08;2017;99,5;210;211;;;1,5;1,5;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Gotland;09;2017;98,6;68;69;;;0,5;0,5;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Blekinge;10;2017;99,3;141;142;;;1,3;1,3;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Skåne;12;2017;99,5;1 102;1 108;;;1,5;1,5;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Halland;13;2017;99,7;288;289;;;1,7;1,7;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Västra Götaland;14;2017;97,8;1 325;1 355;;;-0,2;-0,2;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Värmland;17;2017;95,0;208;219;;;-3,1;-3,1;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Örebro län;18;2017;98,1;259;264;;;0,1;0,1;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Västmanland;19;2017;99,5;189;190;;;1,5;1,5;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Dalarna;20;2017;99,0;192;194;;;1,0;1,0;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Gävleborg;21;2017;95,1;273;287;;;-3,0;-3,0;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Västernorrland;22;2017;97,7;209;214;;;-0,4;-0,4;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Jämtland Härjedalen;23;2017;100,0;134;134;;;2,0;2,0;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Västerbotten;24;2017;98,5;197;200;;;0,5;0,5;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
