Huvudområde;Område;Delområde;Underkonto;År;Region;Värde
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Blekinge;201,6301171
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Dalarna;125,5704053
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Gävleborg;158,0236891
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Halland;109,0022209
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Jämtland Härjedalen;194,9420731
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Jönköping;119,3153684
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Kalmar;158,528173
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Kronoberg;218,9612784
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Norrbotten;192,2483849
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Skåne;157,4779539
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Stockholm;93,41032306
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Sörmland;138,6791465
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Uppsala;113,084832
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Värmland;131,6877245
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Västerbotten;166,0124432
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Västernorrland;123,9462633
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Västmanland;140,0145615
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Västra Götaland;105,4302273
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Örebro;160,6824842
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Östergötland;82,70927218
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Riket exkl gotland;127,06473
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Gotland;17,54262859
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2008;Riket;126,3902525
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Blekinge;186,773794
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Dalarna;129,8588554
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Gävleborg;149,1564695
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Halland;111,1766192
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Jämtland Härjedalen;143,6626172
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Jönköping;120,9990358
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Kalmar;154,0838644
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Kronoberg;202,0069665
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Norrbotten;192,756376
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Skåne;92,56165357
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Stockholm;141,4549408
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Sörmland;141,2361133
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Uppsala;111,480033
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Värmland;128,0845504
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Västerbotten;195,321565
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Västernorrland;123,4354556
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Västmanland;147,2033355
