Datum och tid för uttag;Register/källa;Titel;Diagramrubrik;Indikator-Id;Mätperiod;Länskod;Enhetskod;Enhetstyp;Enhetsnamn;Ålder;Kön/Totalt;Måttenhet;Värde;Täljare;Nämnare/antal fall;KI-Låg;KI-Hög;Täckningsgrad i %;Bortfall i %;Önskat värde;Högsta målnivå;Utgivare målnivå;Område
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2015;1;1;Län;Stockholms län;Alla;Totalt;%;63,5;4846;7604;62,4;64,7;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2014;1;1;Län;Stockholms län;Alla;Totalt;%;63,9;4826;7537;62,8;65,1;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2013;1;1;Län;Stockholms län;Alla;Totalt;%;62,3;4605;7469;61,1;63,4;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2012;1;1;Län;Stockholms län;Alla;Totalt;%;64,2;4780;7439;63,1;65,4;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2011;1;1;Län;Stockholms län;Alla;Totalt;%;61,6;4509;7402;60,5;62,8;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2015;3;3;Län;Uppsala län;Alla;Totalt;%;66,7;657;985;63,7;69,7;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2014;3;3;Län;Uppsala län;Alla;Totalt;%;68;664;976;65,1;71;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2013;3;3;Län;Uppsala län;Alla;Totalt;%;61,4;593;966;58,3;64,5;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2012;3;3;Län;Uppsala län;Alla;Totalt;%;67,5;647;958;64,5;70,6;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2011;3;3;Län;Uppsala län;Alla;Totalt;%;62,4;590;946;59,2;65,5;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
