Datum och tid för uttag;Register/källa;Titel;Diagramrubrik;Indikator-Id;Mätperiod;Länskod;Enhetskod;Enhetstyp;Enhetsnamn;Ålder;Kön/Totalt;Måttenhet;Värde;Täljare;Nämnare/antal fall;KI-Låg;KI-Hög;Täckningsgrad i %;Bortfall i %;Önskat värde;Högsta målnivå;Utgivare målnivå;Socialstyrelsen
2019-03-27 13:24;Statistiska centralbyrån och Sveriges Kommuner och Landsting;Strukturjusterad hälso- och sjukvårdskostnad;Strukturjusterade hälso- och sjukvårdskostnader per invånare.Löpande priser. Primärvårdsansluten hemsjukvård, tandvård och omstruktureringskostnader är exkluderade.;ef665691-e7af-423b-aa70-aa2a901fb836;2017;1;1;Län;Stockholms län;Alla;Totalt;Kronor;26298;-;0;-;-;0;-;Ej angivet;-;-;Hur mycket betalar vi för hälso- och sjukvården?
2019-03-27 13:24;Statistiska centralbyrån och Sveriges Kommuner och Landsting;Strukturjusterad hälso- och sjukvårdskostnad;Strukturjusterade hälso- och sjukvårdskostnader per invånare.Löpande priser. Primärvårdsansluten hemsjukvård, tandvård och omstruktureringskostnader är exkluderade.;ef665691-e7af-423b-aa70-aa2a901fb836;2016;1;1;Län;Stockholms län;Alla;Totalt;Kronor;25962;-;0;-;-;0;-;Ej angivet;-;-;Hur mycket betalar vi för hälso- och sjukvården?
2019-03-27 13:24;Statistiska centralbyrån och Sveriges Kommuner och Landsting;Strukturjusterad hälso- och sjukvårdskostnad;Strukturjusterade hälso- och sjukvårdskostnader per invånare.Löpande priser. Primärvårdsansluten hemsjukvård, tandvård och omstruktureringskostnader är exkluderade.;ef665691-e7af-423b-aa70-aa2a901fb836;2015;1;1;Län;Stockholms län;Alla;Totalt;Kronor;25238;-;0;-;-;0;-;Ej angivet;-;-;Hur mycket betalar vi för hälso- och sjukvården?
2019-03-27 13:24;Statistiska centralbyrån och Sveriges Kommuner och Landsting;Strukturjusterad hälso- och sjukvårdskostnad;Strukturjusterade hälso- och sjukvårdskostnader per invånare.Löpande priser. Primärvårdsansluten hemsjukvård, tandvård och omstruktureringskostnader är exkluderade.;ef665691-e7af-423b-aa70-aa2a901fb836;2014;1;1;Län;Stockholms län;Alla;Totalt;Kronor;24943;-;0;-;-;0;-;Ej angivet;-;-;Hur mycket betalar vi för hälso- och sjukvården?
2019-03-27 13:24;Statistiska centralbyrån och Sveriges Kommuner och Landsting;Strukturjusterad hälso- och sjukvårdskostnad;Strukturjusterade hälso- och sjukvårdskostnader per invånare.Löpande priser. Primärvårdsansluten hemsjukvård, tandvård och omstruktureringskostnader är exkluderade.;ef665691-e7af-423b-aa70-aa2a901fb836;2013;1;1;Län;Stockholms län;Alla;Totalt;Kronor;24175;-;0;-;-;0;-;Ej angivet;-;-;Hur mycket betalar vi för hälso- och sjukvården?
2019-03-27 13:24;Statistiska centralbyrån och Sveriges Kommuner och Landsting;Strukturjusterad hälso- och sjukvårdskostnad;Strukturjusterade hälso- och sjukvårdskostnader per invånare.Löpande priser. Primärvårdsansluten hemsjukvård, tandvård och omstruktureringskostnader är exkluderade.;ef665691-e7af-423b-aa70-aa2a901fb836;2012;1;1;Län;Stockholms län;Alla;Totalt;Kronor;23408;-;0;-;-;0;-;Ej angivet;-;-;Hur mycket betalar vi för hälso- och sjukvården?
2019-03-27 13:24;Statistiska centralbyrån och Sveriges Kommuner och Landsting;Strukturjusterad hälso- och sjukvårdskostnad;Strukturjusterade hälso- och sjukvårdskostnader per invånare.Löpande priser. Primärvårdsansluten hemsjukvård, tandvård och omstruktureringskostnader är exkluderade.;ef665691-e7af-423b-aa70-aa2a901fb836;2017;3;3;Län;Uppsala län;Alla;Totalt;Kronor;24625;-;0;-;-;0;-;Ej angivet;-;-;Hur mycket betalar vi för hälso- och sjukvården?
2019-03-27 13:24;Statistiska centralbyrån och Sveriges Kommuner och Landsting;Strukturjusterad hälso- och sjukvårdskostnad;Strukturjusterade hälso- och sjukvårdskostnader per invånare.Löpande priser. Primärvårdsansluten hemsjukvård, tandvård och omstruktureringskostnader är exkluderade.;ef665691-e7af-423b-aa70-aa2a901fb836;2016;3;3;Län;Uppsala län;Alla;Totalt;Kronor;23945;-;0;-;-;0;-;Ej angivet;-;-;Hur mycket betalar vi för hälso- och sjukvården?
2019-03-27 13:24;Statistiska centralbyrån och Sveriges Kommuner och Landsting;Strukturjusterad hälso- och sjukvårdskostnad;Strukturjusterade hälso- och sjukvårdskostnader per invånare.Löpande priser. Primärvårdsansluten hemsjukvård, tandvård och omstruktureringskostnader är exkluderade.;ef665691-e7af-423b-aa70-aa2a901fb836;2015;3;3;Län;Uppsala län;Alla;Totalt;Kronor;24525;-;0;-;-;0;-;Ej angivet;-;-;Hur mycket betalar vi för hälso- och sjukvården?
2019-03-27 13:24;Statistiska centralbyrån och Sveriges Kommuner och Landsting;Strukturjusterad hälso- och sjukvårdskostnad;Strukturjusterade hälso- och sjukvårdskostnader per invånare.Löpande priser. Primärvårdsansluten hemsjukvård, tandvård och omstruktureringskostnader är exkluderade.;ef665691-e7af-423b-aa70-aa2a901fb836;2014;3;3;Län;Uppsala län;Alla;Totalt;Kronor;23519;-;0;-;-;0;-;Ej angivet;-;-;Hur mycket betalar vi för hälso- och sjukvården?
2019-03-27 13:24;Statistiska centralbyrån och Sveriges Kommuner och Landsting;Strukturjusterad hälso- och sjukvårdskostnad;Strukturjusterade hälso- och sjukvårdskostnader per invånare.Löpande priser. Primärvårdsansluten hemsjukvård, tandvård och omstruktureringskostnader är exkluderade.;ef665691-e7af-423b-aa70-aa2a901fb836;2013;3;3;Län;Uppsala län;Alla;Totalt;Kronor;22724;-;0;-;-;0;-;Ej angivet;-;-;Hur mycket betalar vi för hälso- och sjukvården?
2019-03-27 13:24;Statistiska centralbyrån och Sveriges Kommuner och Landsting;Strukturjusterad hälso- och sjukvårdskostnad;Strukturjusterade hälso- och sjukvårdskostnader per invånare.Löpande priser. Primärvårdsansluten hemsjukvård, tandvård och omstruktureringskostnader är exkluderade.;ef665691-e7af-423b-aa70-aa2a901fb836;2012;3;3;Län;Uppsala län;Alla;Totalt;Kronor;21810;-;0;-;-;0;-;Ej angivet;-;-;Hur mycket betalar vi för hälso- och sjukvården?
